Account,Mtr Serial,Walk Route,Long,Lat
23,20150900375,POWER LINE,36.96609879,-1.14479995
10,17095311,POWER LINE,36.9618988,-1.14566004
59,14001720,POWER LINE,36.96469879,-1.14583004
NAC_20190502_124014_D12,,005 KIMBO,36.9681015,-1.14234996
NAC_20190502_125816_D12,,005 KIMBO,36.96900177,-1.14344001
NAC_20190502_131006_D12,,005 KIMBO,36.9695015,-1.14340997
NAC_20190502_131709_D12,,005 KIMBO,36.96929932,-1.14328003
NAC_20190502_132334_D12,,005 KIMBO,36.9695015,-1.1437
NAC_20190502_132941_D12,,005 KIMBO,36.9701004,-1.14365995
10622,h17ha014776,KIMBO 8,36.9701004,-1.14347994
1622,h17ha014774,KIMBO 1,36.97050095,-1.14345002
1590,,005 KIMBO,36.97019958,-1.14330006
NAC_20190502_134717_D12,,005 KIMBO,36.97019958,-1.14296997
13588,h17ha013094,KIMBO 1,36.97029877,-1.14278996
7611,h17ha013108,KIMBO 1,36.97029877,-1.14277005
NAC_20190502_140039_D12,,005 KIMBO,36.9701004,-1.14384997
NAC_20190502_140642_D12,,005 KIMBO,36.97060013,-1.14376998
1124,16034566,KIMBO 1,36.97109985,-1.1437
1490,1017092,KIMBO 1,36.97140121,-1.14303994
6536,1301385,KIMBO 1,36.97340012,-1.14321995
3103,17012438,KIMBO 1,36.9734993,-1.14315999
1549,1017098,KIMBO 1,36.97340012,-1.14286005
1545,1017370,KIMBO 1,36.97340012,-1.14284003
22650,17132208,KIMBO 1,36.97340012,-1.14283001
1556,1017096,005 KIMBO,36.97340012,-1.14260006
739,1301196,KIMBO 1,36.97330093,-1.14251995
1698,18057812,KIMBO 3,36.97380066,-1.14301002
6531,17107373,005 KIMBO,36.97380066,-1.14292002
7078,17134820,KIMBO 2,36.97370148,-1.14288998
18872,17082254,005 KIMBO,36.97380066,-1.14273
18542,17082732,005 KIMBO,36.97370148,-1.14259005
21714,17177882,KIMBO 2,36.97370148,-1.14250004
21687,17178358,005 KIMBO,36.97359848,-1.14251006
1535,,KIMBO 1,36.9754982,-1.14415002
22303,17179160,KIMBO 1,36.97650146,-1.14470994
7812,1302670,KIMBO 1,36.97669983,-1.14456999
NAC_20190502_153659_D12,,005 KIMBO,36.97710037,-1.14455998
292,17138717,KIMBO 1,36.97719955,-1.14410996
1455,1016257,KIMBO 1,36.97719955,-1.14451003
1654,,KIMBO 1,36.97829819,-1.14435005
20203,,KIMBO 1,36.97819901,-1.14437997
1633,,KIMBO 1,36.97869873,-1.14401996
18961,17104758,MUGUTHA C,36.97890091,-1.14407003
16339,16045625,005 KIMBO,36.97909927,-1.14432001
NAC_20190502_160541_D12,,005 KIMBO,36.97919846,-1.14520001
6965,,KIMBO 1,36.97919846,-1.14415002
NAC_20190502_161200_D12,,005 KIMBO,36.97980118,-1.14427996
13058,20150900041,KIMBO 1,36.97990036,-1.14407003
7614,1303429,KIMBO 1,36.98020172,-1.14470005
8070,1305295,005 KIMBO,36.9803009,-1.14461005
6476,1302598,005 KIMBO,36.97999954,-1.14409995
8098,20150900678,KIMBO 1,36.98049927,-1.14363003
1519,,KIMBO 2,36.98049927,-1.14347005
1667,112563,005 KIMBO,36.98049927,-1.14336002
11238,18054052,THOME 14,36.92290115,-1.15652001
NAC_20190503_095343_D12,,005 KIMBO,36.97819901,-1.14328003
20593,17105257,005 KIMBO,36.98070145,-1.14445996
20811,17131366,KIMBO 1,36.98059845,-1.14458001
1685,12 -0096,KIMBO 1,36.98059845,-1.14461994
1702,1201896,KIMBO 3,36.98059845,-1.14490998
13467,cemented,KIMBO 1,36.98059845,-1.14498997
1679,112472,KIMBO 1,36.98059845,-1.14405
1631,13001035,KIMBO 1,36.98080063,-1.14388001
7427,,005 KIMBO,36.98089981,-1.14376998
9644,14049289,KIMBO 1,36.98160172,-1.14412999
22069,17134858,KIMBO 1,36.98160172,-1.14384997
10632,14131815,005 KIMBO,36.98160172,-1.14356005
22071,17134853,005 KIMBO,36.9817009,-1.14344001
NAC_20190503_111406_D12,,005 KIMBO,36.98160172,-1.14322996
12074,14601815,005 KIMBO,36.98160172,-1.14302003
7610,1304648,THOME 4,36.98189926,-1.14407003
14458,2015....,THOME 4,36.98199844,-1.14381003
307,14550415,005 KIMBO,36.98199844,-1.14359999
13076,20150900188,THOME 4,36.98199844,-1.14364004
1652,201006086,005 KIMBO,36.98189926,-1.14347005
10598,14149815,THOME 4,36.98189926,-1.14339995
17728,17057316,THOME 4,36.98270035,-1.14382005
NAC_20190503_114251_D12,,005 KIMBO,36.98260117,-1.14366996
22001,17178956,KIMBO 1,36.98329926,-1.14374995
NAC_20190503_114948_D12,,005 KIMBO,36.98339844,-1.14415002
25207,,KIMBO 1,36.98360062,-1.14330006
11088,14590515,THOME 4,36.98410034,-1.14394999
15752,16042816,KIMBO 1,36.98419952,-1.14424002
12069,,KIMBO 1,36.98469925,-1.14363003
25292,18085414,KIMBO 1,36.98450089,-1.14336002
NAC_20190503_122445_D12,,005 KIMBO,36.98490143,-1.1437
16337,16046696,KIMBO 1,36.98559952,-1.14390004
1651,143174,THOME 4,36.98559952,-1.14444005
14476,20151101442,THOME 4,36.98559952,-1.14449
1650,,THOME 4,36.9856987,-1.14459002
8853,1304997,005 KIMBO,36.98590088,-1.14400005
7810,1304995,THOME 4,36.98600006,-1.14391005
12348,20150600129,KIMBO 1,36.98590088,-1.14345002
6532,1301323,KIMBO 1,36.98600006,-1.14311004
NAC_20190503_130705_D12,,005 KIMBO,36.98609924,-1.14287996
23863,150039518,005 KIMBO,36.98669815,-1.14347005
1510,17176929,KIMBO 1,36.98659897,-1.14361
1648,,KIMBO 2,36.98690033,-1.14355004
1647,201006127,THOME 4,36.98699951,-1.14391994
6870,14050756,THOME 4,36.98709869,-1.14416003
1656,,THOME 4,36.98720169,-1.14432001
6867,14048875,005 KIMBO,36.98749924,-1.14429998
NAC_20190503_133403_D12,,005 KIMBO,36.98770142,-1.14336002
9127,h18ha007858,KIMBO 1,36.98770142,-1.14302003
13229,20150900478,KIMBO 1,36.98740005,-1.14312005
20949,17131234,KIMBO 1,36.98749924,-1.14275002
NAC_20190503_134947_D12,,005 KIMBO,36.98749924,-1.14271998
1670,110152,KIMBO 1,36.98690033,-1.14230001
1672,110151,KIMBO 1,36.98699951,-1.14231002
1671,110153,KIMBO 1,36.98690033,-1.14243996
NAC_20190503_140038_D12,,005 KIMBO,36.98680115,-1.14254999
1673,112604,KIMBO 1,36.98680115,-1.14257002
1688,120033,005 KIMBO,36.98669815,-1.14260006
19418,17129964,KIMBO 1,36.98609924,-1.14163995
1515,17132898,KIMBO 1,36.98609924,-1.14164996
10540,14208515,KIMBO 1,36.98600006,-1.14177001
19502,,THOME 17,36.98600006,-1.14188004
9724,14...,KIMBO 1,36.9858017,-1.14195001
1494,h18ja008234,KIMBO 1,36.98540115,-1.14207995
NAC_20190503_151811_D12,,005 KIMBO,36.98550034,-1.14180005
NAC_20190503_152625_D12,,005 KIMBO,36.98529816,-1.14207995
9456,1354072,KIMBO 1,36.98500061,-1.14152002
25042,18053143,KIMBO 1,36.98279953,-1.14192998
1675,112342,KIMBO 1,36.9822998,-1.14200997
11600,awsb 15-09322,THOME 11,36.92029953,-1.16149998
NAC_20190502_124415_D12,,007 RAILWAY SIDE,36.9822998,-1.12992001
NAC_20190502_125809_D12,,007 RAILWAY SIDE,36.98260117,-1.12963998
NAC_20190502_130233_D12,,007 RAILWAY SIDE,36.98289871,-1.12984002
NAC_20190502_130732_D12,,007 RAILWAY SIDE,36.98270035,-1.12965
NAC_20190502_131708_D12,,007 RAILWAY SIDE,36.98310089,-1.12972999
NAC_20190502_132649_D12,,007 RAILWAY SIDE,36.98320007,-1.12958002
NAC_20190502_133046_D12,,007 RAILWAY SIDE,36.98329926,-1.12940001
NAC_20190502_133607_D12,,007 RAILWAY SIDE,36.98360062,-1.12966001
NAC_20190502_134305_D12,,007 RAILWAY SIDE,36.98389816,-1.12913001
NAC_20190502_135313_D12,,007 RAILWAY SIDE,36.98410034,-1.12944996
NAC_20190502_135644_D12,,007 RAILWAY SIDE,36.98429871,-1.12940001
NAC_20190502_140208_D12,,007 RAILWAY SIDE,36.98469925,-1.12933004
NAC_20190502_140705_D12,,007 RAILWAY SIDE,36.98519897,-1.12932003
NAC_20190502_141044_D12,,007 RAILWAY SIDE,36.98529816,-1.12919998
NAC_20190503_095814_D12,,007 RAILWAY SIDE,36.98239899,-1.12856996
NAC_20190503_100838_D12,,007 RAILWAY SIDE,36.98260117,-1.12864006
NAC_20190503_101320_D12,,007 RAILWAY SIDE,36.98260117,-1.12901998
NAC_20190503_101810_D12,,007 RAILWAY SIDE,36.98289871,-1.12837994
NAC_20190503_102346_D12,,007 RAILWAY SIDE,36.98339844,-1.12852001
NAC_20190503_102636_D12,,007 RAILWAY SIDE,36.98329926,-1.12844002
NAC_20190503_102932_D12,,007 RAILWAY SIDE,36.98350143,-1.12858999
NAC_20190503_103416_D12,,007 RAILWAY SIDE,36.98410034,-1.12836003
NAC_20190503_103714_D12,,007 RAILWAY SIDE,36.98419952,-1.12807
NAC_20190503_104021_D12,,007 RAILWAY SIDE,36.98429871,-1.12847996
NAC_20190503_104219_D12,,007 RAILWAY SIDE,36.98429871,-1.12835002
NAC_20190503_104510_D12,,007 RAILWAY SIDE,36.98429871,-1.12822998
NAC_20190503_104807_D12,,007 RAILWAY SIDE,36.98450089,-1.12828004
NAC_20190503_105637_D12,,007 RAILWAY SIDE,36.98460007,-1.12832999
NAC_20190503_110229_D12,,007 RAILWAY SIDE,36.98519897,-1.12829995
NAC_20190503_110513_D12,,007 RAILWAY SIDE,36.98500061,-1.12828004
NAC_20190503_111051_D12,,007 RAILWAY SIDE,36.98239899,-1.1286
NAC_20190503_111332_D12,,007 RAILWAY SIDE,36.98189926,-1.12837005
NAC_20190503_112259_D12,,007 RAILWAY SIDE,36.98279953,-1.12732995
NAC_20190503_113000_D12,,007 RAILWAY SIDE,36.98270035,-1.12721002
NAC_20190503_113335_D12,,007 RAILWAY SIDE,36.98279953,-1.12690997
NAC_20190503_113639_D12,,007 RAILWAY SIDE,36.98270035,-1.12680995
NAC_20190503_114029_D12,,007 RAILWAY SIDE,36.98310089,-1.12658
NAC_20190503_114357_D12,,007 RAILWAY SIDE,36.98279953,-1.12635005
NAC_20190503_114951_D12,,007 RAILWAY SIDE,36.98310089,-1.12576997
NAC_20190503_115619_D12,,007 RAILWAY SIDE,36.98239899,-1.12590003
NAC_20190503_120759_D12,,007 RAILWAY SIDE,36.98260117,-1.12533998
NAC_20190503_121156_D12,,007 RAILWAY SIDE,36.98260117,-1.12519002
NAC_20190503_121514_D12,,007 RAILWAY SIDE,36.98289871,-1.12565005
NAC_20190503_121921_D12,,007 RAILWAY SIDE,36.98260117,-1.12484002
NAC_20190503_122221_D12,,007 RAILWAY SIDE,36.98249817,-1.12461996
NAC_20190503_123112_D12,,007 RAILWAY SIDE,36.98300171,-1.12442005
NAC_20190503_124340_D12,,007 RAILWAY SIDE,36.98339844,-1.12495995
NAC_20190503_124803_D12,,007 RAILWAY SIDE,36.98360062,-1.12539005
NAC_20190503_125320_D12,,007 RAILWAY SIDE,36.9836998,-1.12592006
NAC_20190503_125634_D12,,007 RAILWAY SIDE,36.98379898,-1.12610996
NAC_20190503_125936_D12,,007 RAILWAY SIDE,36.98389816,-1.12644005
NAC_20190503_130311_D12,,007 RAILWAY SIDE,36.98379898,-1.12671995
NAC_20190503_130941_D12,,007 RAILWAY SIDE,36.9836998,-1.12665999
NAC_20190503_131242_D12,,007 RAILWAY SIDE,36.9836998,-1.12698996
NAC_20190503_132820_D12,,007 RAILWAY SIDE,36.98329926,-1.12735999
NAC_20190503_133134_D12,,007 RAILWAY SIDE,36.98329926,-1.12765002
NAC_20190503_134608_D12,,007 RAILWAY SIDE,36.9836998,-1.12761998
NAC_20190503_135041_D12,,007 RAILWAY SIDE,36.98389816,-1.12741995
NAC_20190503_135538_D12,,007 RAILWAY SIDE,36.98410034,-1.12732995
NAC_20190503_140137_D12,,007 RAILWAY SIDE,36.9844017,-1.12744999
NAC_20190503_141007_D12,,007 RAILWAY SIDE,36.98469925,-1.12739003
NAC_20190503_141337_D12,,007 RAILWAY SIDE,36.98490143,-1.12739003
NAC_20190503_141603_D12,,007 RAILWAY SIDE,36.98490143,-1.12738001
NAC_20190503_141914_D12,,007 RAILWAY SIDE,36.98509979,-1.12731004
NAC_20190503_142420_D12,,007 RAILWAY SIDE,36.98609924,-1.12682998
NAC_20190503_143129_D12,,007 RAILWAY SIDE,36.98600006,-1.12682998
NAC_20190503_143543_D12,,007 RAILWAY SIDE,36.98630142,-1.12634003
NAC_20190503_143948_D12,,007 RAILWAY SIDE,36.98590088,-1.12614
NAC_20190503_144212_D12,,007 RAILWAY SIDE,36.9858017,-1.12607002
NAC_20190503_144704_D12,,007 RAILWAY SIDE,36.98559952,-1.12605
NAC_20190503_145306_D12,,007 RAILWAY SIDE,36.98540115,-1.1257
NAC_20190503_145643_D12,,007 RAILWAY SIDE,36.98479843,-1.12540996
NAC_20190503_150140_D12,,007 RAILWAY SIDE,36.98419952,-1.12498999
NAC_20190503_150854_D12,,007 RAILWAY SIDE,36.98400116,-1.12495005
NAC_20190503_151213_D12,,007 RAILWAY SIDE,36.98389816,-1.12485003
NAC_20190503_151531_D12,,007 RAILWAY SIDE,36.98389816,-1.12483001
NAC_20190503_151826_D12,,007 RAILWAY SIDE,36.98379898,-1.12478006
14142,,RAILWAY C,36.96509933,-1.14651
20772,18077248,001 RUIRU TOWN,36.96409988,-1.15235996
23181,17108027,POWER LINE,36.96390152,-1.15222001
19341,17105871,POWER LINE,36.96020126,-1.15265
14134,20151100462,POWER LINE,36.96289825,-1.15325999
20004,17106433,POWER LINE,36.95959854,-1.15506995
6741,1304653,DANGA AREA,36.96250153,-1.14944005
129,hl7ha016297,DANGA AREA,36.96160126,-1.14805996
65,hl8ha016349,DANGA AREA,36.96099854,-1.14796996
24,150021218,DANGA AREA,36.96149826,-1.14811003
119,not visible,DANGA AREA,36.9612999,-1.14805996
15,hl7ha014481,DANGA AREA,36.96099854,-1.1487
62,hl7ha014490,DANGA AREA,36.96089935,-1.14845002
90,hl7ha014488,DANGA AREA,36.96110153,-1.14854002
11058,not visible,DANGA AREA,36.96099854,-1.14867997
97,hl7ha014485,DANGA AREA,36.96099854,-1.14901996
17700,17081692,CBD,36.96099854,-1.14909995
7417,hl8ha016335,DANGA AREA,36.96099854,-1.14912999
114,hl7ha014483,DANGA AREA,36.96099854,-1.14876997
20950,hl7ha014489,DANGA AREA,36.96070099,-1.14840996
20,1303145,DANGA AREA,36.96009827,-1.14905
42,hl7ha014484,DANGA AREA,36.96009827,-1.14901996
107,1018929,DANGA AREA,36.96070099,-1.14854002
19,not visible,DANGA AREA,36.95869827,-1.14889002
113,1016990,DANGA AREA,36.9598999,-1.14885998
131,hl8ha013346,DANGA AREA,36.96009827,-1.14874995
12,not visible,DANGA AREA,36.9598999,-1.14833999
18883,16045295,DANGA AREA,36.95920181,-1.14863002
109,hl7ha014588,DANGA AREA,36.95869827,-1.14889002
161,hl7ha014586,DANGA AREA,36.95869827,-1.14889002
1699,hl8ha013658,DANGA AREA,36.95869827,-1.14889002
10969,hl7ha014487,DANGA AREA,36.95859909,-1.14866996
28,hl8ha016347,DANGA AREA,36.95849991,-1.14908004
120,not visible,DANGA AREA,36.95869827,-1.14889002
108,hi8ha010430,DANGA AREA,36.95849991,-1.14829004
NAC_20190503_121942_D12,,001 RUIRU TOWN,36.95819855,-1.14787996
NAC_20190506_100029_D12,,003 MURERA A,36.96910095,-1.14349997
1192,H17JA014762,MURERA A 1,36.96969986,-1.14382994
1100,1016366,MURERA A 1,36.96929932,-1.14389002
1140,H17JA014761,MURERA A 1,36.96929932,-1.14391994
7604,1304644,003 MURERA A,36.96979904,-1.14388001
22074,17134859,003 MURERA A,36.96979904,-1.14397001
13589,H17JA013092,MURERA A 1,36.97000122,-1.14414001
14831,H17JA014780,MURERA A 1,36.96979904,-1.14416003
7416,H17JA013099,MURERA A 1,36.96969986,-1.14406002
26692,18085554,MURERA A 1,36.9693985,-1.14425004
1282,H17JA013103,MURERA A 2,36.96910095,-1.14394999
6768,GB/T778-1996,MURERA A 1,36.96900177,-1.14375997
1207,17106704,MURERA A 1,36.96879959,-1.14371002
1197,H17JA014768,MURERA A 1,36.96870041,-1.14361
1178,1017777,003 MURERA A,36.96849823,-1.14362001
10610,H17JA013102,MURERA A 1,36.96839905,-1.14391005
10084,14231115,MURERA A 1,36.96870041,-1.14408004
1183,H17JA013105,MURERA A 1,36.96879959,-1.14415002
1143,13109,MURERA A 1,36.96900177,-1.14435005
1141,H17JA013104,MURERA A 1,36.96910095,-1.14433002
1154,201006338,MURERA A 1,36.96829987,-1.14403999
1152,1019692,MURERA A 1,36.96860123,-1.14420998
1235,17107201,MURERA A 1,36.96860123,-1.14441001
1201,1017126,003 MURERA A,36.96879959,-1.14445996
6770,,MURERA A 1,36.96900177,-1.14450002
1153,1016363,MURERA A 1,36.96889877,-1.14456999
1148,H17JA014769,MURERA A 1,36.96849823,-1.14464998
1138,H17JA013106,MURERA A 3,36.96849823,-1.14464998
1196,1019828,MURERA A 1,36.96860123,-1.14467001
1150,17105652,MURERA A 1,36.96870041,-1.14467001
1281,H17JA013107,MURERA A 1,36.96879959,-1.14480996
1155,1017594,MURERA A 1,36.96879959,-1.14482999
1144,H17JA014763,MURERA A 1,36.96829987,-1.14450002
1173,H17JA013110,MURERA A 1,36.96820068,-1.14446998
1142,1016364,MURERA A 1,36.96820068,-1.14435005
16006,16041171,MURERA A 1,36.9679985,-1.14444005
1172,16013861,MURERA A 1,36.96770096,-1.14511001
14296,20151101975,MURERA A 1,36.9681015,-1.14511001
1149,18085368,MURERA A 1,36.9681015,-1.14508998
9454,H17JA014576,MURERA A 1,36.96820068,-1.14512002
13590,H17JA014770,MURERA A 1,36.96829987,-1.14529002
1174,113198,MURERA A 1,36.96839905,-1.14542997
1166,H17JA014573,MURERA A 1,36.9681015,-1.14570999
1182,H17JA014578,003 MURERA A,36.9681015,-1.14581001
1217,H17JA014574,MURERA A 1,36.9681015,-1.14585996
7603,H17JA014571,MURERA A 1,36.96849823,-1.14558005
1266,H17JA014765,MURERA A 1,36.96870041,-1.14543998
1114,H17JA014580,MURERA A 1,36.96870041,-1.14529002
NAC_20190506_122544_D12,,003 MURERA A,36.96870041,-1.14539003
NAC_20190506_123342_D12,,003 MURERA A,36.96889877,-1.14523005
1117,,MURERA A 1,36.96910095,-1.14552999
1101,141848,MURERA A 1,36.9693985,-1.14532995
1290,1201791,003 MURERA A,36.96929932,-1.14472997
1121,17107440,003 MURERA A,36.9695015,-1.14523995
1120,H17JA013938,MURERA A 1,36.96969986,-1.14524996
1110,1016301,MURERA A 1,36.96969986,-1.1451
NAC_20190506_131114_D12,,003 MURERA A,36.97000122,-1.14488995
21391,1017887,MURERA A 1,36.9701004,-1.14459002
7414,H17JA013940,MURERA A 1,36.9701004,-1.14490998
60,hl8ha008150,DANGA AREA,36.957901,-1.14842999
22,1017869,DANGA AREA,36.95819855,-1.14751995
44,1017870,DANGA AREA,36.96009827,-1.14646995
48,hl8ja008345,DANGA AREA,36.95869827,-1.14889002
859,hl8ha008478,DANGA AREA,36.95769882,-1.14890003
7989,14186515,DANGA AREA,36.95650101,-1.14546001
8878,no meter,DANGA AREA,36.94720078,-1.14045
19828,17095666,DANGA AREA,36.95330048,-1.14551997
23854,18085502,001 RUIRU TOWN,36.95190048,-1.14626002
