Acc Number,New Acc No,Old Acc No,Meter No,Acc Name,Subzone,Tariff,Connection Status
00859-2100100859,,,09436,,RUIRU TOWN,Commercial,
00098-2100100098,,,1019518,,RUIRU TOWN,Domestic,
00095-2100100095,,,H18JA010127,,RUIRU TOWN,Commercial,
00079-2100100079,,,1016204,,RUIRU TOWN,Domestic,
00050-2100100050,,,1017817,,RUIRU TOWN,Commercial,
00025-2100100025,,,19015181,,RUIRU TOWN,Commercial,
00151-2100100151,,,H17JA014743,,RUIRU TOWN,Commercial,
00163-2100100163,,,120037,,RUIRU TOWN,Commercial,
00160-2100100160,,,120094,,RUIRU TOWN,Domestic,
30634-2100130634,,,19031581,,RUIRU TOWN,Commercial,
30632-2100130632,,,19031579,,RUIRU TOWN,Domestic,
18864-2100118864,,,17107006,,RUIRU TOWN,Domestic,
18796-2100118796,,,17106438,,RUIRU TOWN,Domestic,
18883-2100218883,,,045395,,RUIRU TOWN,Domestic,
30777-2100130777,,,19039339,,RUIRU TOWN,Domestic,
30776-2100130776,,,19039338,,RUIRU TOWN,Domestic,
30778-2100130778,,,19039340,,RUIRU TOWN,Domestic,
30810-2100130810,,,19040461,,RUIRU TOWN,Domestic,
31226-2100131226,,,19031235,,RUIRU TOWN,Domestic,
30060-2100130060,,,19031653,,RUIRU TOWN,Domestic,
30155-2100130155,,,19039946,,RUIRU TOWN,Domestic,
31149-2100131149,,,19039231,,RUIRU TOWN,Domestic,
31342-2100131342,,,19056850,,RUIRU TOWN,Domestic,
31450-2100131450,,,19058584,,RUIRU TOWN,Domestic,
30153-2100130153,,,19039944,,RUIRU TOWN,Domestic,
31302-2100131302,,,19030094,,RUIRU TOWN,Domestic,
30908-2100130908,,,19040113,,RUIRU TOWN,Domestic,
31044-2100131044,,,19040157,,RUIRU TOWN,Domestic,
30437-2100130437,,,19031395,,RUIRU TOWN,Domestic,
30436-2100130436,,,19031394,,RUIRU TOWN,Domestic,
30435-2100130435,,,19031393,,RUIRU TOWN,Domestic,
30317-2100130317,,,19030188,,RUIRU TOWN,Domestic,
30487-2100130487,,,19031152,,RUIRU TOWN,Domestic,
30489-2100130489,,,19031151,,RUIRU TOWN,Commercial,
30410-2100130410,,,19039528,,RUIRU TOWN,Domestic,
30890-2100130890,,,19029767,,RUIRU TOWN,Domestic,
30892-2100130892,,,19029769,,RUIRU TOWN,Domestic,
30891-2100130891,,,19029768,,RUIRU TOWN,Domestic,
06435-2100106435,,,210011521,,RUIRU TOWN,Commercial,
31076-2100131076,,,19039260,,RUIRU TOWN,Domestic,
30569-2100130569,,,19039183,,RUIRU TOWN,Domestic,
30570-2100130570,,,19039184,,RUIRU TOWN,Domestic,
06649-2100106649,,,20151100869,,RUIRU TOWN,Commercial,
13137-2100113137,,,H17JA014657,,RUIRU TOWN,Commercial,
14813-2100114813,,,16014444,,RUIRU TOWN,Domestic,
00137-2100100137,,,19014986,,RUIRU TOWN,Commercial,
27771-2100127771,,,150326418,,RUIRU TOWN,Domestic,
27769-2100127769,,,150326218,,RUIRU TOWN,Domestic,
28199-2100128199,,,19011318,,RUIRU TOWN,Domestic,
27278-2100127278,,,18054965,,RUIRU TOWN,Domestic,
27275-2100127275,,,18054963,,RUIRU TOWN,Domestic,
27276-2100127276,,,18054962,,RUIRU TOWN,Domestic,
27277-2100127277,,,18054964,,RUIRU TOWN,Domestic,
27367-2100127367,,,18056784,,RUIRU TOWN,Domestic,
27366-2100127366,,,18086076,,RUIRU TOWN,Domestic,
27364-2100127364,,,18086083,,RUIRU TOWN,Domestic,
28884-2100128884,,,19012737,,RUIRU TOWN,Domestic,
27466-2100127466,,,H18JA016991,,RUIRU TOWN,Domestic,
27467-2100127467,,,H18JA016992,,RUIRU TOWN,Domestic,
28945-2100128945,,,19012655,,RUIRU TOWN,Domestic,
29352-2100129352,,,19015100,,RUIRU TOWN,Commercial,
28083-2100128083,,,19012683,,RUIRU TOWN,Domestic,
28082-2100128082,,,19012682,,RUIRU TOWN,Domestic,
28081-2100128081,,,19012681,,RUIRU TOWN,Domestic,
28799-2100228799,,,19012422,,RUIRU TOWN,Domestic,
29169-2100129169,,,19015108,,RUIRU TOWN,Domestic,
28298-2100128298,,,19013534,,RUIRU TOWN,Domestic,
28299-2100128299,,,19013535,,RUIRU TOWN,Domestic,
28295-2100128295,,,19013530,,RUIRU TOWN,Domestic,
28296-2100128296,,,19013532,,RUIRU TOWN,Domestic,
28574-2100128574,,,150334718,,RUIRU TOWN,Domestic,
28576-2100128576,,,150334918,,RUIRU TOWN,Domestic,
27950-2100127950,,,19011854,,RUIRU TOWN,Domestic,
20862-2100120862,,,17134325,,RUIRU TOWN,Domestic,
