New Acc No,Old Acc No,Zone,Subzone,Longitude,Latitude
13570,2100213570,002 GITAMBAYA,GITAMBAYA,272920.0858,9872227.381
18859,2100218859,002 GITAMBAYA,GITAMBAYA,272891.1287,9872116.354
17532,2100217532,002 GITAMBAYA,GITAMBAYA,272878.1318,9872103.312
23446,2100223446,002 GITAMBAYA,GITAMBAYA,272876.5503,9872058.001
6763,2100206763,002 GITAMBAYA,GITAMBAYA,272871.3231,9872050.9
8027,2100208027,002 GITAMBAYA,GITAMBAYA,272862.5014,9872037.106
18215,2100218215,002 GITAMBAYA,GITAMBAYA,272840.961,9871958.84
16322,2100216322,002 GITAMBAYA,GITAMBAYA,272786.02,9871808.328
11845,2100211845,002 GITAMBAYA,GITAMBAYA,272747.9007,9871667.136
15188,2100215188,002 GITAMBAYA,GITAMBAYA,272737.9249,9871607.257
8692,2100208692,002 GITAMBAYA,GITAMBAYA,272715.5815,9871536.566
8003,2100208003,002 GITAMBAYA,GITAMBAYA,272678.6757,9871488.059
14292,2100214292,002 GITAMBAYA,GITAMBAYA,272680.5726,9871482.033
8467,2100208467,002 GITAMBAYA,GITAMBAYA,272663.2518,9871444.49
6761,2100206761,002 GITAMBAYA,GITAMBAYA,272668.6016,9871435.83
11981,2100211981,002 GITAMBAYA,GITAMBAYA,272666.6278,9871394.261
19469,2100219469,002 GITAMBAYA,GITAMBAYA,272666.9313,9871385.21
9099,2100209099,002 GITAMBAYA,GITAMBAYA,272658.9733,9871357.296
8024,2100208024,002 GITAMBAYA,GITAMBAYA,272477.6029,9871314.196
10559,2100210559,002 GITAMBAYA,GITAMBAYA,272457.8056,9871314.55
13453,2100213453,002 GITAMBAYA,GITAMBAYA,272366.4965,9871347.314
8284,2100208284,002 GITAMBAYA,GITAMBAYA,272349.3989,9871360.353
8006,2100208006,002 GITAMBAYA,GITAMBAYA,272335.822,9871354.113
12340,2100212340,002 GITAMBAYA,GITAMBAYA,272329.6211,9871359.38
21355,2100221355,002 GITAMBAYA,GITAMBAYA,272494.8433,9871436.995
11808,2100211808,002 GITAMBAYA,GITAMBAYA,272457.8018,9871499.107
11993,2100211993,002 GITAMBAYA,GITAMBAYA,272440.0366,9871511.629
11758,2100211758,002 GITAMBAYA,GITAMBAYA,272493.6891,9871493.529
8458,2100208458,002 GITAMBAYA,GITAMBAYA,272532.3939,9871568.711
