New Acc. No.,Old Acc. Number,Acc.Name,Meter No.,Phone No.,Zone,Sub-Zone,Longitude,Latitude,Walkroute,Water,Sewer,Connection Status,Tarriff,Building Type,House Type,Hse. Units
13570,2100213570,,,,GITAMBAYA,GITAMBAYA,272920.0858,9872227.381,Unknown,,,,,,,
18859,2100218859,,,,GITAMBAYA,GITAMBAYA,272891.1287,9872116.354,Unknown,,,,,,,
17532,2100217532,,,,GITAMBAYA,GITAMBAYA,272878.1318,9872103.312,Unknown,,,,,,,
23446,2100223446,,,,GITAMBAYA,GITAMBAYA,272876.5503,9872058.001,Unknown,,,,,,,
6763,2100206763,,,,GITAMBAYA,GITAMBAYA,272871.3231,9872050.9,Unknown,,,,,,,
8027,2100208027,,,,GITAMBAYA,GITAMBAYA,272862.5014,9872037.106,Unknown,,,,,,,
18215,2100218215,,,,GITAMBAYA,GITAMBAYA,272840.961,9871958.84,Unknown,,,,,,,
16322,2100216322,,,,GITAMBAYA,GITAMBAYA,272786.02,9871808.328,Unknown,,,,,,,
11845,2100211845,,,,GITAMBAYA,GITAMBAYA,272747.9007,9871667.136,Unknown,,,,,,,
15188,2100215188,,,,GITAMBAYA,GITAMBAYA,272737.9249,9871607.257,Unknown,,,,,,,
8692,2100208692,,,,GITAMBAYA,GITAMBAYA,272715.5815,9871536.566,Unknown,,,,,,,
8003,2100208003,,,,GITAMBAYA,GITAMBAYA,272678.6757,9871488.059,Unknown,,,,,,,
14292,2100214292,,,,GITAMBAYA,GITAMBAYA,272680.5726,9871482.033,Unknown,,,,,,,
8467,2100208467,,,,GITAMBAYA,GITAMBAYA,272663.2518,9871444.49,Unknown,,,,,,,
6761,2100206761,,,,GITAMBAYA,GITAMBAYA,272668.6016,9871435.83,Unknown,,,,,,,
11981,2100211981,,,,GITAMBAYA,GITAMBAYA,272666.6278,9871394.261,Unknown,,,,,,,
19469,2100219469,,,,GITAMBAYA,GITAMBAYA,272666.9313,9871385.21,Unknown,,,,,,,
9099,2100209099,,,,GITAMBAYA,GITAMBAYA,272658.9733,9871357.296,Unknown,,,,,,,
8024,2100208024,,,,GITAMBAYA,GITAMBAYA,272477.6029,9871314.196,Unknown,,,,,,,
10559,2100210559,,,,GITAMBAYA,GITAMBAYA,272457.8056,9871314.55,Unknown,,,,,,,
13453,2100213453,,,,GITAMBAYA,GITAMBAYA,272366.4965,9871347.314,Unknown,,,,,,,
8284,2100208284,,,,GITAMBAYA,GITAMBAYA,272349.3989,9871360.353,Unknown,,,,,,,
8006,2100208006,,,,GITAMBAYA,GITAMBAYA,272335.822,9871354.113,Unknown,,,,,,,
12340,2100212340,,,,GITAMBAYA,GITAMBAYA,272329.6211,9871359.38,Unknown,,,,,,,
21355,2100221355,,,,GITAMBAYA,GITAMBAYA,272494.8433,9871436.995,Unknown,,,,,,,
11808,2100211808,,,,GITAMBAYA,GITAMBAYA,272457.8018,9871499.107,Unknown,,,,,,,
11993,2100211993,,,,GITAMBAYA,GITAMBAYA,272440.0366,9871511.629,Unknown,,,,,,,
11758,2100211758,,,,GITAMBAYA,GITAMBAYA,272493.6891,9871493.529,Unknown,,,,,,,
8458,2100208458,,,,GITAMBAYA,GITAMBAYA,272532.3939,9871568.711,Unknown,,,,,,,
9390,2100209390,,,,GITAMBAYA,GITAMBAYA,272531.2043,9871571.641,Unknown,,,,,,,
8681,2100208681,,,,GITAMBAYA,GITAMBAYA,272530.7502,9871583.917,Unknown,,,,,,,
16320,2100216320,,,,GITAMBAYA,GITAMBAYA,272407.7527,9871562.98,Unknown,,,,,,,
17470,2100217470,,,,GITAMBAYA,GITAMBAYA,272420.2541,9871542.804,Unknown,,,,,,,
19674,2100219674,,,,GITAMBAYA,GITAMBAYA,272389.5457,9871519.537,Unknown,,,,,,,
9381,2100209381,,,,GITAMBAYA,GITAMBAYA,272404.2628,9871514.202,Unknown,,,,,,,
8480,2100208480,,,,GITAMBAYA,GITAMBAYA,272420.7184,9871388.46,Unknown,,,,,,,
1306,2100201306,,,,GITAMBAYA,GITAMBAYA,272417.3574,9871392.274,Unknown,,,,,,,
8901,2100208901,,,,GITAMBAYA,GITAMBAYA,272441.5138,9871393.36,Unknown,,,,,,,
6752,2100206752,,,,GITAMBAYA,GITAMBAYA,272426.5534,9871375.93,Unknown,,,,,,,
10579,2100210579,,,,GITAMBAYA,GITAMBAYA,272409.4828,9871377.318,Unknown,,,,,,,
8025,2100208025,,,,GITAMBAYA,GITAMBAYA,272398.8661,9871382.656,Unknown,,,,,,,
12340,2100212340,,,,GITAMBAYA,GITAMBAYA,272321.0116,9871360.056,Unknown,,,,,,,
8022,2100208022,,,,GITAMBAYA,GITAMBAYA,272176.4937,9871387.288,Unknown,,,,,,,
8887,2100208887,,,,GITAMBAYA,GITAMBAYA,272201.4381,9871401.961,Unknown,,,,,,,
11320,2100211320,,,,GITAMBAYA,GITAMBAYA,272225.824,9871419.269,Unknown,,,,,,,
14436,2100214436,,,,GITAMBAYA,GITAMBAYA,272306.8683,9871495.164,Unknown,,,,,,,
11067,2100211067,,,,GITAMBAYA,GITAMBAYA,272373.0323,9871571.121,Unknown,,,,,,,
18020,2100218020,,,,GITAMBAYA,GITAMBAYA,272566.6149,9871763.615,Unknown,,,,,,,
16947,2100216947,,,,GITAMBAYA,GITAMBAYA,272464.6828,9871733.347,Unknown,,,,,,,
12012,2100212012,,,,GITAMBAYA,GITAMBAYA,272445.2604,9871728.485,Unknown,,,,,,,
11798,2100211798,,,,GITAMBAYA,GITAMBAYA,272423.0484,9871706.81,Unknown,,,,,,,
10405,2100210405,,,,GITAMBAYA,GITAMBAYA,272272.6906,9871522.605,Unknown,,,,,,,
8888,2100208888,,,,GITAMBAYA,GITAMBAYA,272102.9977,9871443.66,Unknown,,,,,,,
11736,2100211736,,,,GITAMBAYA,GITAMBAYA,272169.3233,9871501.423,Unknown,,,,,,,
12321,2100212321,,,,GITAMBAYA,GITAMBAYA,272170.7773,9871517.646,Unknown,,,,,,,
16316,2100216316,,,,GITAMBAYA,GITAMBAYA,272185.1098,9871531.058,Unknown,,,,,,,
11333,2100211333,,,,GITAMBAYA,GITAMBAYA,272244.3009,9871551.23,Unknown,,,,,,,
11998,2100211998,,,,GITAMBAYA,GITAMBAYA,272291.8451,9871615.671,Unknown,,,,,,,
21104,2100221104,,,,GITAMBAYA,GITAMBAYA,272317.8441,9871634.474,Unknown,,,,,,,
9413,2100209413,,,,GITAMBAYA,GITAMBAYA,272354.5375,9871668.953,Unknown,,,,,,,
13586,2100213586,,,,GITAMBAYA,GITAMBAYA,272338.8378,9871698.73,Unknown,,,,,,,
16972,2100216972,,,,GITAMBAYA,GITAMBAYA,272436.1042,9871818.103,Unknown,,,,,,,
8683,2100208683,,,,GITAMBAYA,GITAMBAYA,272037.6077,9871426.027,Unknown,,,,,,,
6840,2100206840,,,,GITAMBAYA,GITAMBAYA,272011.1083,9871406.505,Unknown,,,,,,,
9429,2100209429,,,,GITAMBAYA,GITAMBAYA,272166.8151,9871839.402,Unknown,,,,,,,
19437,2100219437,,,,GITAMBAYA,GITAMBAYA,272142.6648,9871880.989,Unknown,,,,,,,
10259,2100210259,,,,GITAMBAYA,GITAMBAYA,272157.0352,9871918.936,Unknown,,,,,,,
20837,2100220837,,,,GITAMBAYA,GITAMBAYA,272188.5282,9871909.521,Unknown,,,,,,,
7584,2100207584,,,,GITAMBAYA,GITAMBAYA,272192.9915,9871946.612,Unknown,,,,,,,
21013,2100221013,,,,GITAMBAYA,GITAMBAYA,272131.1462,9872004.725,Unknown,,,,,,,
8884,2100208884,,,,GITAMBAYA,GITAMBAYA,272124.3158,9872008.131,Unknown,,,,,,,
281,2100200281,,,,GITAMBAYA,GITAMBAYA,272110.519,9872023.605,Unknown,,,,,,,
16311,2100216311,,,,GITAMBAYA,GITAMBAYA,272102.4998,9872029,Unknown,,,,,,,
11734,2100211734,,,,GITAMBAYA,GITAMBAYA,272062.9944,9872008.824,Unknown,,,,,,,
9416,2100209416,,,,GITAMBAYA,GITAMBAYA,272058.6874,9872012.065,Unknown,,,,,,,
11979,2100211979,,,,GITAMBAYA,GITAMBAYA,272058.2944,9871991.216,Unknown,,,,,,,
15195,2100215195,,,,GITAMBAYA,GITAMBAYA,272046.5444,9871972.811,Unknown,,,,,,,
1055,2100201055,,,,GITAMBAYA,GITAMBAYA,272064.1602,9871961.653,Unknown,,,,,,,
1011,2100201011,,,,GITAMBAYA,GITAMBAYA,272099.2594,9871942.747,Unknown,,,,,,,
13240,2100213240,,,,GITAMBAYA,GITAMBAYA,272110.2678,9871934.755,Unknown,,,,,,,
10574,2100210574,,,,GITAMBAYA,GITAMBAYA,272109.8315,9871922.201,Unknown,,,,,,,
9100,2100209100,,,,GITAMBAYA,GITAMBAYA,272067.7115,9871899.995,Unknown,,,,,,,
7776,2100207776,,,,GITAMBAYA,GITAMBAYA,272039.3572,9871905.284,Unknown,,,,,,,
13147,2100213147,,,,GITAMBAYA,GITAMBAYA,272020.5055,9871931.999,Unknown,,,,,,,
8000,2100208000,,,,GITAMBAYA,GITAMBAYA,272015.9113,9871947.719,Unknown,,,,,,,
19677,2100219677,,,,GITAMBAYA,GITAMBAYA,272128.4857,9872091.804,Unknown,,,,,,,
1066,2100201066,,,,GITAMBAYA,GITAMBAYA,272144.1367,9872077.99,Unknown,,,,,,,
14432,2100214432,,,,GITAMBAYA,GITAMBAYA,272174.7852,9872056.058,Unknown,,,,,,,
10075,2100210075,,,,GITAMBAYA,GITAMBAYA,272186.9431,9872049.117,Unknown,,,,,,,
8896,2100208896,,,,GITAMBAYA,GITAMBAYA,272204.9227,9872048.024,Unknown,,,,,,,
20667,2100220667,,,,GITAMBAYA,GITAMBAYA,272217.4634,9872024.843,Unknown,,,,,,,
17054,2100217054,,,,GITAMBAYA,GITAMBAYA,272229.9068,9872007.838,Unknown,,,,,,,
14289,2100214289,,,,GITAMBAYA,GITAMBAYA,272262.8416,9872057.264,Unknown,,,,,,,
16556,2100216556,,,,GITAMBAYA,GITAMBAYA,272261.4013,9872099.107,Unknown,,,,,,,
11898,2100211898,,,,GITAMBAYA,GITAMBAYA,272228.7384,9872109.996,Unknown,,,,,,,
12699,2100212699,,,,GITAMBAYA,GITAMBAYA,272237.101,9872117.302,Unknown,,,,,,,
21026,2100221026,,,,GITAMBAYA,GITAMBAYA,272222.1032,9872125.844,Unknown,,,,,,,
21880,2100221880,,,,GITAMBAYA,GITAMBAYA,272215.5058,9872114.982,Unknown,,,,,,,
15189,2100215189,,,,GITAMBAYA,GITAMBAYA,272203.6157,9872136.559,Unknown,,,,,,,
7209,2100207209,,,,GITAMBAYA,GITAMBAYA,272196.4406,9872129.255,Unknown,,,,,,,
14431,2100214431,,,,GITAMBAYA,GITAMBAYA,272182.7744,9872143.734,Unknown,,,,,,,
15196,2100215196,,,,GITAMBAYA,GITAMBAYA,272189.2822,9872150.116,Unknown,,,,,,,
11463,2100211463,,,,GITAMBAYA,GITAMBAYA,272242.9472,9872192.128,Unknown,,,,,,,
1068,2100201068,,,,GITAMBAYA,GITAMBAYA,272239.4995,9872187.573,Unknown,,,,,,,
6239,2100206239,,,,GITAMBAYA,GITAMBAYA,272263.8883,9872175.203,Unknown,,,,,,,
12311,2100212311,,,,GITAMBAYA,GITAMBAYA,272272.1834,9872173.218,Unknown,,,,,,,
20650,2100220650,,,,GITAMBAYA,GITAMBAYA,272300.9542,9872156.28,Unknown,,,,,,,
15458,2100215458,,,,GITAMBAYA,GITAMBAYA,272328.7531,9872149.406,Unknown,,,,,,,
21416,2100221416,,,,GITAMBAYA,GITAMBAYA,272334.593,9872181.558,Unknown,,,,,,,
22678,2100222678,,,,GITAMBAYA,GITAMBAYA,272347.1857,9872214.913,Unknown,,,,,,,
21244,2100221244,,,,GITAMBAYA,GITAMBAYA,272336.0511,9872217.929,Unknown,,,,,,,
9373,2100209373,,,,GITAMBAYA,GITAMBAYA,272334.6172,9872225.117,Unknown,,,,,,,
11071,2100211071,,,,GITAMBAYA,GITAMBAYA,272327.7874,9872227.895,Unknown,,,,,,,
21076,2100221076,,,,GITAMBAYA,GITAMBAYA,272320.5656,9872233.807,Unknown,,,,,,,
14442,2100214442,,,,GITAMBAYA,GITAMBAYA,272310.5896,9872225.56,Unknown,,,,,,,
7383,2100207383,,,,GITAMBAYA,GITAMBAYA,272301.9943,9872232.116,Unknown,,,,,,,
21242,2100221242,,,,GITAMBAYA,GITAMBAYA,272294.0026,9872250.987,Unknown,,,,,,,
1033,2100201033,,,,GITAMBAYA,GITAMBAYA,272281.152,9872240.691,Unknown,,,,,,,
21420,2100221420,,,,GITAMBAYA,GITAMBAYA,272280.3949,9872261.337,Unknown,,,,,,,
21014,2100221014,,,,GITAMBAYA,GITAMBAYA,272377.0249,9872440.802,Unknown,,,,,,,
12313,2100212313,,,,GITAMBAYA,GITAMBAYA,272302.2964,9872353.594,Unknown,,,,,,,
8457,2100208457,,,,GITAMBAYA,GITAMBAYA,272319.3499,9872376.206,Unknown,,,,,,,
15993,2100215993,,,,GITAMBAYA,GITAMBAYA,272408.4381,9872490.613,Unknown,,,,,,,
825,2100200825,,,,GITAMBAYA,GITAMBAYA,272493.8524,9872424.775,Unknown,,,,,,,
173,2100200173,,,,GITAMBAYA,GITAMBAYA,272549.0799,9872383.837,Unknown,,,,,,,
