Sub Department,Tasks
Billing & Customer Relations,Data verification
Billing & Customer Relations,Data collection
Billing & Customer Relations,Status verification
Billing & Customer Relations,Disconnetion
Billing & Customer Relations,Fix Connection
Billing & Customer Relations,Reconnection
Operations & Maintenance,Customer accounts monitoring 
Operations & Maintenance,Meter relocation
Operations & Maintenance,Master meter monitoring
Operations & Maintenance,Relocation
Operations & Maintenance,Installation of Bulk meters
Operations & Maintenance,Disconnection
Operations & Maintenance,Data Collection
Operations & Maintenance,Disconnect from Mains
