Subzone,Walk-routes
001 RUIRU TOWN,001 RUIRU TOWN
002 GITAMBAYA,002 GITAMBAYA
003 MURERA A,003 MURERA A
004 MURERA B,004 MURERA B
005 KIMBO,005 KIMBO
006 THOME,006 THOME
007 RAILWAY SIDE,007 RAILWAY SIDE
008 MURERA AP,008 MURERA AP
009 MUGUTHA,009 MUGUTHA
010 RUIRU EAST,010 RUIRU EAST
001 RUIRU TOWN,CBD
UNKNOWN,DANGA AREA
UNKNOWN,FORT JESUS
UNKNOWN,HILTON
UNKNOWN,INDUSTRIAL MARKET
UNKNOWN,KANGAITA ESTATE
UNKNOWN,KANGANGI
UNKNOWN,KIHUNGURO
005 KIMBO,KIMBO 1
005 KIMBO,KIMBO 2
005 KIMBO,KIMBO 3
005 KIMBO,KIMBO 4
005 KIMBO,KIMBO 5
005 KIMBO,KIMBO 6
005 KIMBO,KIMBO 7
005 KIMBO,KIMBO 8
005 KIMBO,KIMBO 9
UNKNOWN,MAMA SHOP A
UNKNOWN,MAMA SHOP B
UNKNOWN,MAMA SHOP C
UNKNOWN,MATOPENI
UNKNOWN,MHASIBU ESTATE
009 MUGUTHA,MUGUTHA A
009 MUGUTHA,MUGUTHA B
009 MUGUTHA,MUGUTHA C
009 MUGUTHA,MUGUTHA D
003 MURERA A,MURERA A 1
003 MURERA A,MURERA A 2
003 MURERA A,MURERA A 3
008 MURERA AP,MURERA AP A
008 MURERA AP,MURERA AP B
008 MURERA AP,MURERA AP C
008 MURERA AP,MURERA AP D
008 MURERA AP,MURERA AP E
UNKNOWN,PEMBA
UNKNOWN,POWER LINE
UNKNOWN,PRISONS
007 RAILWAY SIDE,RAILWAY A
007 RAILWAY SIDE,RAILWAY B
007 RAILWAY SIDE,RAILWAY C
UNKNOWN,RUIRU GREEN
UNKNOWN,ST MARY MIJIKENDA
UNKNOWN,"ST MARY, KARUGURU, MIJIKENDA"
006 THOME,THOME 10
006 THOME,THOME 11
006 THOME,THOME 12
006 THOME,THOME 13
006 THOME,THOME 14
006 THOME,THOME 15
006 THOME,THOME 16
006 THOME,THOME 17
006 THOME,THOME 18
006 THOME,THOME 19
006 THOME,THOME 2
006 THOME,THOME 3
006 THOME,THOME 4
006 THOME,THOME 5
006 THOME,THOME 6
006 THOME,THOME 7
006 THOME,THOME 8
006 THOME,THOME 9
UNKNOWN,WALK A
UNKNOWN,WALK B
UNKNOWN,WALK C
UNKNOWN,WATAALAM LEFT
UNKNOWN,WATAALAM RIGHT
