Scheme,Zones,Sub-Zones,
UNKNOWN,001 RUIRU TOWN,001 RUIRU TOWN,
UNKNOWN,002 GITAMBAYA,002 GITAMBAYA,
UNKNOWN,003 MURERA A,003 MURERA A,
UNKNOWN,004 MURERA B,004 MURERA B,
UNKNOWN,005 KIMBO,005 KIMBO,
UNKNOWN,006 THOME,006 THOME,
UNKNOWN,007 RAILWAY SIDE,007 RAILWAY SIDE,
UNKNOWN,008 MURERA AP,008 MURERA AP,
JUJA,009 MUGUTHA,009 MUGUTHA,
UNKNOWN,010 RUIRU EAST,010 RUIRU EAST,
JUJA,KENYATTA ROAD,KENYATTA ROAD,
JUJA,GATAGAMA,GATAGAMA,
JUJA,GREENFIELD,GREENFIELD,
JUJA,JOYLAND,JOYLAND,
UNKNOWN,UNKNOWN,UNKNOWN,
